Site,Plot,Date,Direction,CC_Count,CC,Woody_0.25,Woody_1,Woody_3,Woody_3+,Live_Woody,Dead_Woody,Woody_Height,Live_Herbs,Dead_Herbs,Herb_Height,Cones,Acorns,SG,
Talladega,80,7/6/2022,SE,5,94.8,1,6,2,0,0.00,0,0,60,0,40,1,0,0,
Talladega,92,7/8/2022,N,6,93.76,2,1,0,"11 (3), 7 (3), 5 (3)",0.00,0,0,30,0,40,8,0,0,
Talladega,98,7/8/2022,SW,4,95.84,3,1,0,"13 (5), 6 (4)",0.00,0,0,80,0,40,0,0,0,inches
MOT,54,5/18/2022,SW,5,94.8,5,1,0,0,0.00,0,0,0,0,0,5,0,0,
MOT,55,5/18/2022,N,3,96.88,4,0,1,0,0.00,0,0,0,0,0,1,0,0,
Talladega,62,7/5/2022,SW,1,98.96,3,1,1,0,5.00,0,5,0,0,0,1,0,0,
Talladega,82,7/6/2022,N,7,92.72,1,8,3,0,30.00,0,5,0,0,0,2,0,0,
MOT,30,5/18/2022,SE,10,89.6,5,1,0,11 (4),2.00,0,5,0,0,0,8,0,0,
MOT,52,5/18/2022,N,5,94.8,3,2,1,0,2.00,0,5,0,0,0,2,0,0,
MOT,56,5/18/2022,SW,3,96.88,2,0,0,0,2.00,0,5,0,0,0,3,1,0,
Talladega,61,7/5/2022,N,7,92.72,2,1,2,9 (3),10.00,0,10,0,0,0,3,0,3,
Talladega,63,7/5/2022,N,1,98.96,3,2,0,0,5.00,0,10,0,0,0,4,0,0,
Talladega,68,7/5/2022,SE,16,83.36,0,4,3,15 (3),5.00,0,10,0,0,0,0,0,0,
Talladega,95,7/8/2022,SW,3,96.88,10,0,10,0,10.00,0,10,0,0,0,4,0,0,inches
Kreher,20,5/19/2022,N,5,94.8,12,2,1,16 (3),10.00,0,10,5,0,5,0,0,2,
Kreher,22,5/19/2022,SW,13,86.48,3,1,1,0,2.00,0,10,10,0,5,1,0,0,
Tuskegee,1,6/6/2022,N,9,90.64,6,1,2,0,1.00,0,10,1,0,10,4,0,0,
MOT,26,5/19/2022,SE,5,94.8,2,0,0,0,5.00,0,10,10,0,10,1,0,0,
Talladega,76,7/5/2022,N,6,93.76,2,2,0,0,10.00,0,10,20,0,10,5,0,0,
Talladega,85,7/6/2022,SE,9,90.64,2,2,0,0,5.00,0,10,20,0,10,6,0,0,
Talladega,85,7/6/2022,SW,8,91.68,2,2,1,0,10.00,0,10,30,0,10,2,1,0,
Talladega,66,7/5/2022,SW,1,98.96,3,0,1,0,5.00,0,10,20,0,15,0,0,0,
Tuskegee,1,6/6/2022,SW,7,92.72,2,0,3,0,1.00,0,10,5,0,20,1,0,0,
MOT,27,5/19/2022,N,2,97.92,1,2,1,0,10.00,0,10,25,0,20,0,0,0,
MOT,31,5/18/2022,SE,4,95.84,1,0,0,18 (2),5.00,0,10,15,0,20,1,2,0,
Kreher,21,5/19/2022,SW,9,90.64,3,1,1,0,20.00,0,10,20,0,30,3,0,2,
MOT,26,5/19/2022,SW,3,96.88,3,1,2,0,10.00,0,10,30,0,30,2,0,0,
Talladega,88,7/6/2022,SE,4,95.84,0,1,1,17 (5),10.00,0,10,20,0,30,0,14,0,
CR,107,6/1/2022,SE,14,85.44,4,3,1,0,1.00,0,10,30,0,30,1,2,0,
Talladega,65,7/5/2022,SW,7,92.72,5,3,2,"11 (4), 10 (5), 39 (3)",5.00,0,10,5,0,40,5,0,0,
Talladega,78,7/6/2022,SE,11,88.56,5,0,1,15 (3),20.00,0,10,40,0,50,0,0,0,
Tuskegee,17,6/6/2022,N,14,85.44,3,1,1,0,1.00,0,10,0,0,0,1,0,0,
Kreher,23,5/19/2022,N,2,97.92,2,1,1,0,30.00,0,10,0,0,0,9,0,0,
MOT,27,5/19/2022,SW,3,96.88,0,2,0,0,5.00,0,10,0,0,0,1,0,0,
MOT,29,5/18/2022,N,9,90.64,1,3,3,11 (4),5.00,0,10,0,0,0,0,0,0,
MOT,29,5/18/2022,SW,11,88.56,2,0,0,0,2.00,0,10,0,0,0,2,0,0,
MOT,33,5/18/2022,SE,7,92.72,4,1,3,0,5.00,0,10,0,0,0,8,0,0,
MOT,52,5/18/2022,SE,4,95.84,4,0,1,0,2.00,0,10,0,0,0,1,0,0,
MOT,54,5/18/2022,SE,10,89.6,1,3,1,0,5.00,0,10,0,0,0,1,0,2,
Talladega,62,7/5/2022,N,3,96.88,2,1,0,0,5.00,0,15,0,0,0,8,0,0,
Talladega,68,7/5/2022,N,4,95.84,7,2,0,0,10.00,0,15,0,0,0,0,0,0,
Talladega,68,7/5/2022,SW,35,63.6,7,4,5,0,5.00,0,15,0,0,0,0,0,0,
Kreher,22,5/19/2022,N,8,91.68,5,0,0,30 (3),15.00,0,15,30,0,10,1,0,1,
Tuskegee,40,6/7/2022,N,19,80.24,5,2,1,16 (1),1.00,0,15,1,0,10,1,0,0,
Talladega,62,7/5/2022,SE,4,95.84,2,1,0,15 (4),10.00,0,15,20,0,10,5,0,0,
Talladega,65,7/5/2022,SE,4,95.84,4,0,1,"30 (4), 14 (2)",30.00,0,15,15,0,10,6,0,0,
CR,107,6/1/2022,SW,43,55.28,3,1,1,0,20.00,0,15,20,0,30,3,0,0,
CR,107,6/1/2022,N,18,81.28,3,0,1,0,5.00,0,15,10,0,40,2,4,0,
Talladega,61,7/5/2022,SW,3,96.88,1,5,2,9 (5),20.00,0,20,0,0,0,4,0,0,
Talladega,72,7/5/2022,SE,7,92.72,0,3,2,"10 (3), 10 (3)",20.00,0,20,0,0,0,0,0,0,
Talladega,100,7/6/2022,SE,9,90.64,4,2,2,0,20.00,0,20,0,0,0,7,0,0,
Kreher,21,5/19/2022,N,7,92.72,3,0,1,14 (3),40.00,0,20,10,0,10,8,0,1,
Kreher,21,5/19/2022,SE,3,96.88,3,1,0,0,30.00,0,20,10,0,10,1,0,0,
Kreher,22,5/19/2022,SE,6,93.76,2,1,0,0,10.00,0,20,20,0,10,1,0,0,
MOT,25,5/19/2022,SE,6,93.76,0,4,0,0,20.00,0,20,15,0,10,7,0,0,
MOT,25,5/19/2022,SW,10,89.6,0,2,2,0,5.00,0,20,25,0,10,9,0,0,
MOT,26,5/19/2022,N,5,94.8,6,3,0,0,10.00,0,20,10,0,10,0,0,0,
Tuskegee,35,6/7/2022,N,9,90.64,4,1,1,20 (4),5.00,0,20,5,0,10,1,0,0,
Tuskegee,47,6/2/2022,N,9,90.64,3,2,0,0,15.00,0,20,1,0,10,3,0,0,
Tuskegee,47,6/2/2022,SE,4,95.84,3,2,1,0,1.00,0,20,1,0,10,0,0,0,
Talladega,66,7/5/2022,SE,1,98.96,4,1,1,0,5.00,0,20,10,0,10,2,0,0,
Talladega,75,7/5/2022,SE,3,96.88,4,2,0,0,5.00,0,20,20,0,10,2,0,0,
Talladega,83,7/6/2022,SE,7,92.72,2,3,1,0,10.00,0,20,10,0,10,1,0,0,
Talladega,97,7/8/2022,N,4,95.84,4,0,2,6.5 (4),10.00,0,20,5,0,10,6,0,0,inches
Talladega,72,7/5/2022,SW,12,87.52,2,3,0,26 (4),20.00,0,20,10,0,20,3,0,0,
Talladega,74,7/5/2022,SE,3,96.88,4,0,0,0,10.00,0,20,20,0,20,5,0,0,
Talladega,84,7/6/2022,SE,7,92.72,0,1,0,0,10.00,0,20,30,0,20,3,12,0,
Talladega,89,7/6/2022,N,5,94.8,1,2,1,0,10.00,0,20,50,0,20,2,0,0,
Talladega,102,7/6/2022,N,11,88.56,3,1,0,0,5.00,0,20,80,0,20,0,0,0,
CR,105,6/1/2022,N,1,98.96,1,2,1,0,1.00,0,20,5,0,20,2,2,0,
Tuskegee,2.2,6/6/2022,SW,12,87.52,3,0,0,14 (3),1.00,0,20,20,0,40,1,0,0,
Talladega,83,7/6/2022,SW,7,92.72,4,1,1,0,30.00,0,20,20,0,40,3,2,0,
Kreher,20,5/19/2022,SE,18,81.28,4,2,1,18 (3),25.00,0,20,0,0,0,2,0,0,
MOT,25,5/19/2022,N,3,96.88,3,1,0,0,10.00,0,20,0,0,0,0,0,0,
MOT,30,5/18/2022,N,5,94.8,1,2,0,0,10.00,0,20,0,0,0,0,0,0,
CR,104,6/1/2022,SE,1,98.96,7,1,0,0,1.00,0,20,0,0,0,4,0,0,
CR,106,6/1/2022,SE,11,88.56,3,0,1,0,5.00,0,25,35,0,30,0,0,0,
Kreher,19,5/19/2022,SE,6,93.76,3,1,1,21 (2),20.00,0,25,0,0,0,11,0,0,
Talladega,72,7/5/2022,N,10,89.6,3,1,1, 21 (5),30.00,0,30,0,0,0,2,0,0,
Tuskegee,3,6/6/2022,SW,8,91.68,6,1,1,9 (2),1.00,0,30,15,0,10,0,0,0,
Tuskegee,35,6/7/2022,SE,13,86.48,3,1,1,0,20.00,0,30,5,0,10,1,0,0,
Tuskegee,42,6/2/2022,N,6,93.76,5,1,0,0,5.00,0,30,5,0,10,2,0,1,
Tuskegee,48,6/2/2022,SW,5,94.8,1,2,0,0,1.00,0,30,30,0,10,2,1,0,
Talladega,86,7/6/2022,SW,11,88.56,0,2,3,"21 (1), 11 (4)",20.00,0,30,60,0,10,1,0,0,
Talladega,94,7/8/2022,SW,5,94.8,2,1,2,"5.5 (2), 9.5 (2), 8 (2), 9 (4)",5.00,0,30,70,0,10,0,0,0,
Talladega,95,7/8/2022,N,8,91.68,1,2,0,0,10.00,0,30,25,0,10,10,0,0,inches
Tuskegee,50,6/2/2022,SW,2,97.92,2,0,0,0,1.00,0,30,40,0,20,1,1,0,
Tuskegee,38,6/7/2022,N,6,93.76,1,2,0,14 (2),10.00,0,30,60,0,30,1,0,0,
Talladega,65,7/5/2022,N,1,98.96,6,3,1,"9 (2), 15 (2)",5.00,0,30,5,0,30,7,0,0,
Talladega,69,7/5/2022,SW,7,92.72,1,0,2,0,20.00,0,30,20,0,30,2,0,0,
Talladega,78,7/6/2022,N,6,93.76,3,0,0,20 (4),5.00,0,30,70,0,40,0,0,0,
Talladega,98,7/8/2022,SE,5,94.8,0,2,3,3.5 (2),10.00,0,30,40,0,50,6,0,0,inches
Tuskegee,3.2,6/6/2022,SW,10,89.6,4,0,1,"12 (3), 9 (3)",5.00,0,30,0,0,0,1,0,0,
MOT,60,5/19/2022,N,93,3.28,2,2,0,22 (3),25.00,0,30,0,0,0,3,0,1,
Tuskegee,45,6/2/2022,SE,1,98.96,2,1,1,0,15.00,0,35,1,0,10,3,1,0,
CR,103,6/1/2022,SW,6,93.76,5,0,0,0,5.00,0,35,5,0,15,2,0,0,
Talladega,61,7/5/2022,SE,5,94.8,2,6,3,0,10.00,0,40,0,0,0,1,0,0,
MOT,28,5/18/2022,SE,17,82.32,2,0,6,12 (2),30.00,0,40,5,0,10,4,0,0,
MOT,58,5/19/2022,SW,3,96.88,4,0,3,"18 (5), 33 (3)",15.00,0,40,5,0,10,0,7,0,
Talladega,83,7/6/2022,N,6,93.76,5,2,3,0,20.00,0,40,10,0,10,3,1,0,
Tuskegee,9,6/6/2022,SE,9,90.64,6,1,0,0,5.00,0,40,50,0,15,1,1,0,
Talladega,84,7/6/2022,N,3,96.88,2,1,0,0,20.00,0,40,30,0,20,7,3,0,
Tuskegee,2,6/6/2022,SW,5,94.8,7,1,0,0,1.00,0,40,30,0,30,2,0,0,
Tuskegee,7,6/6/2022,N,7,92.72,2,2,0,19 (1),5.00,0,40,50,0,30,4,0,1,
Tuskegee,7.2,6/6/2022,SE,4,95.84,1,1,0,0,1.00,0,40,10,0,30,4,0,0,
Tuskegee,7.2,6/6/2022,SW,16,83.36,5,0,3,12 (1),5.00,0,40,20,0,30,5,0,0,
Tuskegee,34,6/7/2022,SW,22,77.12,6,5,2,0,5.00,0,40,15,0,30,5,0,0,
Talladega,79,7/6/2022,N,6,93.76,4,0,2,0,30.00,0,40,20,0,30,7,0,0,
Talladega,84,7/6/2022,SW,3,96.88,0,3,1,0,20.00,0,40,30,0,30,3,7,0,
Talladega,100,7/6/2022,N,3,96.88,0,1,0,"26 (3), 20 (3)",20.00,0,40,30,0,30,0,0,0,
Kreher,20,5/19/2022,SW,4,95.84,17,0,5,20 (2),50.00,0,40,0,0,0,1,0,0,
Tuskegee,45,6/2/2022,N,23,76.08,2,1,2,10 (4),5.00,0,40,0,0,0,1,0,0,
CR,103,6/1/2022,SE,2,97.92,3,1,1,0,5.00,0,40,0,0,0,5,0,0,
Tuskegee,42,6/2/2022,SE,5,94.8,5,1,1,0,10.00,0,45,5,0,10,3,2,0,
CR,106,6/1/2022,N,3,96.88,3,0,1,0,15.00,0,45,5,0,30,1,1,0,
Talladega,70,7/5/2022,SW,5,94.8,4,1,0,0,10.00,0,50,0,0,0,0,0,0,
Talladega,79,7/6/2022,SW,3,96.88,2,2,1,0,20.00,0,50,0,0,0,10,0,0,
Talladega,81,7/6/2022,N,5,94.8,1,0,3,0,5.00,0,50,0,0,0,2,0,0,
Talladega,96,7/8/2022,SW,4,95.84,2,3,0,"6.5 (5), 6.5 (4), 10.5 (5), 13.5 (4)",15.00,0,50,0,0,0,4,0,0,inches
Talladega,99,7/8/2022,N,3,96.88,1,1,3,5 (3),30.00,0,50,0,0,0,1,0,0,inches
Tuskegee,8,6/6/2022,SE,11,88.56,3,2,0,0,40.00,0,50,10,0,10,2,1,0,
Tuskegee,35,6/7/2022,SW,11,88.56,4,0,0,20 (5),10.00,0,50,5,0,10,0,0,1,
Talladega,89,7/6/2022,SW,5,94.8,4,0,1,0,60.00,0,50,20,0,10,1,3,0,
Tuskegee,7,6/6/2022,SW,11,88.56,4,2,2,"17 (2), 20 (4), 16 (2), 22 (4)",15.00,0,50,60,0,20,0,0,0,
Tuskegee,8,6/6/2022,SW,40,58.4,2,0,0,0,30.00,0,50,30,0,20,1,0,0,
Tuskegee,36,6/7/2022,N,25,74,2,1,0,0,5.00,0,50,60,0,20,1,0,0,
Tuskegee,50,6/2/2022,N,15,84.4,2,1,1,0,10.00,0,50,30,0,20,2,0,1,
Talladega,76,7/5/2022,SE,7,92.72,2,1,0,0,40.00,0,50,20,0,20,3,0,0,
Talladega,76,7/5/2022,SW,3,96.88,2,1,0,0,50.00,0,50,20,0,20,0,0,0,
Talladega,87,7/6/2022,SE,23,76.08,0,1,1,0,20.00,0,50,60,0,20,2,0,0,
Talladega,87,7/6/2022,SW,6,93.76,2,1,0,14 (4),10.00,0,50,50,0,20,7,2,0,
Talladega,89,7/6/2022,SE,7,92.72,3,1,0,0,40.00,0,50,10,0,20,1,0,0,
Talladega,93,7/8/2022,SE,4,95.84,7,4,1,"13 (2), 6 (5)",10.00,0,50,30,0,20,1,0,0,
Talladega,95,7/8/2022,SE,2,97.92,0,0,3,0,30.00,0,50,10,0,20,1,3,0,inches
Talladega,97,7/8/2022,SE,3,96.88,2,0,0,9 (4),10.00,0,50,30,0,20,6,0,0,inches
Talladega,101,7/6/2022,N,4,95.84,6,2,0,0,40.00,0,50,40,0,20,0,0,0,
Tuskegee,2.2,6/6/2022,N,13,86.48,2,0,1,0,20.00,0,50,30,0,30,3,0,0,
Tuskegee,37,6/7/2022,SE,8,91.68,3,0,0,0,5.00,0,50,60,0,30,0,0,0,
Tuskegee,44,6/2/2022,SE,12,87.52,4,1,3,22 (5),50.00,0,50,10,0,30,0,3,0,
Tuskegee,50,6/2/2022,SE,7,92.72,1,1,0,0,15.00,0,50,60,0,30,0,0,0,
Talladega,93,7/8/2022,SW,7,92.72,9,3,2,0,10.00,0,50,40,0,30,6,0,0,
Talladega,98,7/8/2022,N,6,93.76,1,4,1,0,10.00,0,50,50,0,30,4,0,0,inches
Tuskegee,39,6/7/2022,N,12,87.52,2,1,3,0,10.00,0,50,50,0,40,1,0,0,
Kreher,19,5/19/2022,N,5,94.8,5,0,1,18 (4),25.00,0,50,0,0,0,8,0,0,
MOT,29,5/18/2022,SE,10,89.6,0,3,0,0,10.00,0,50,0,0,0,0,0,0,
Tuskegee,41,6/7/2022,SW,22,77.12,6,2,2,0,40.00,0,50,0,0,0,4,0,0,
Tuskegee,43,6/2/2022,SE,6,93.76,3,0,1,0,20.00,0,50,0,0,0,5,1,0,
Tuskegee,45,6/2/2022,SW,5,94.8,3,0,0,0,40.00,0,50,0,0,0,1,0,0,
MOT,52,5/18/2022,SW,8,91.68,3,0,0,0,15.00,0,50,0,0,0,1,4,0,
Tuskegee,9,6/6/2022,SW,22,77.12,2,0,2,0,10.00,0,60,60,0,10,2,0,0,
Tuskegee,44,6/2/2022,N,7,92.72,3,1,1,0,25.00,0,60,1,0,10,0,0,0,
Tuskegee,48,6/2/2022,N,8,91.68,6,1,1,18 (2),5.00,0,60,1,0,10,0,0,0,
Tuskegee,44,6/2/2022,SW,7,92.72,3,1,0,0,40.00,0,60,5,0,15,1,2,0,
Talladega,71,7/5/2022,SW,10,89.6,8,2,0,15 (4),15.00,0,60,15,0,20,0,0,0,
Talladega,88,7/6/2022,N,9,90.64,0,2,2,0,20.00,0,60,40,0,20,0,13,0,
Tuskegee,7.2,6/6/2022,N,8,91.68,1,0,0,"32 (5), 18 (5)",1.00,0,60,80,0,30,2,0,0,
Tuskegee,36,6/7/2022,SW,12,87.52,3,2,1,"15 (1), 23 (5)",1.00,0,60,50,0,30,0,0,0,
Tuskegee,38,6/7/2022,SE,4,95.84,6,0,0,0,15.00,0,60,10,0,30,0,0,0,
Talladega,94,7/8/2022,N,5,94.8,11,0,0,7 (3),20.00,0,60,50,0,40,1,0,0,
Kreher,19,5/19/2022,SW,2,97.92,2,0,1,0,10.00,0,60,0,0,0,5,2,0,
Tuskegee,41,6/7/2022,N,6,93.76,4,1,1,"16 (3), 18 (2)",30.00,0,60,0,0,0,2,0,0,
Talladega,96,7/8/2022,N,6,93.76,5,2,2,0,60.00,0,70,0,0,0,0,0,0,inches
Tuskegee,34,6/7/2022,SE,7,92.72,5,1,0,0,20.00,0,70,5,0,10,2,0,0,
Tuskegee,43,6/2/2022,N,13,86.48,2,1,0,0,40.00,0,70,5,0,10,3,2,0,
Tuskegee,40,6/7/2022,SW,9,90.64,9,2,0,0,20.00,0,70,15,0,30,2,0,0,
Tuskegee,17,6/6/2022,SW,7,92.72,2,1,1,0,5.00,0,70,0,0,0,1,0,0,
Talladega,70,7/5/2022,SE,7,92.72,2,0,2,11 (3),40.00,0,80,0,0,0,5,0,0,
Talladega,87,7/6/2022,N,6,93.76,0,0,0,0,40.00,0,80,30,0,10,6,1,0,
Tuskegee,6,6/6/2022,SE,5,94.8,6,1,0,0,50.00,0,80,5,0,15,0,1,0,
Tuskegee,9,6/6/2022,N,9,90.64,8,2,1,"22 (5), 12 (1), 35 (1)",20.00,0,80,30,0,15,3,0,0,
Tuskegee,42,6/2/2022,SW,9,90.64,7,1,1,0,35.00,0,80,15,0,15,1,1,0,
Talladega,99,7/8/2022,SE,3,96.88,3,0,0,0,10.00,0,80,50,0,20,1,0,0,inches
Tuskegee,6,6/6/2022,SW,6,93.76,4,1,0,0,60.00,0,80,15,0,30,1,0,1,
Kreher,23,5/19/2022,SE,5,94.8,2,2,0,32 (4),10.00,0,80,0,0,0,4,0,0,
MOT,24,5/19/2022,SE,5,94.8,2,2,0,32 (4),10.00,0,80,0,0,0,4,0,0,
Tuskegee,3.2,6/6/2022,SE,9,90.64,3,1,1,0,50.00,0,90,5,0,15,1,0,0,
Tuskegee,51,6/2/2022,N,4,95.84,1,1,1,0,30.00,0,90,30,0,40,3,0,0,
Tuskegee,12,6/6/2022,N,12,87.52,2,1,0,0,40.00,0,90,0,0,0,3,0,0,
Talladega,63,7/5/2022,SE,2,97.92,3,2,2,0,5.00,0,100,0,0,0,11,0,0,
Talladega,101,7/6/2022,SE,4,95.84,7,2,1,13 (3),40.00,0,100,0,0,0,1,0,0,
Talladega,67,7/5/2022,SE,1,98.96,4,1,0,0,40.00,0,100,20,0,10,0,0,0,
Talladega,67,7/5/2022,SW,4,95.84,2,1,1,0,60.00,0,100,15,0,10,11,0,0,
Talladega,96,7/8/2022,SE,3,96.88,4,1,0,"4 (1), 3 (5), 6 (3)",20.00,0,100,20,0,10,0,2,0,inches
Talladega,64,7/5/2022,SW,4,95.84,3,1,1,"19 (3), 21 (4)",20.00,0,100,10,0,15,5,0,0,
Talladega,70,7/5/2022,N,6,93.76,2,1,1,0,20.00,0,100,10,0,15,6,0,0,
Talladega,91,7/8/2022,SW,5,94.8,3,1,2,0,10.00,0,100,10,0,20,2,1,0,
Tuskegee,34,6/7/2022,N,11,88.56,3,0,1,16 (5),15.00,0,100,40,0,30,1,0,0,
Tuskegee,37,6/7/2022,N,17,82.32,3,0,0,25 (5),20.00,0,100,40,0,30,2,0,0,
Tuskegee,38,6/7/2022,SW,8,91.68,5,1,1,17 (5),5.00,0,100,40,0,30,2,0,0,
Tuskegee,49,6/2/2022,N,14,85.44,3,0,0,0,40.00,0,100,50,0,30,0,0,0,
Tuskegee,2.2,6/6/2022,SE,4,95.84,2,0,1,0,10.00,0,100,80,0,40,2,0,0,
MOT,24,5/19/2022,N,2,97.92,2,1,1,0,30.00,0,100,0,0,0,9,0,0,
MOT,60,5/19/2022,SW,90,6.4,2,4,0,29 (4),10.00,0,100,0,0,0,2,0,0,
Tuskegee,12,6/6/2022,SE,7,92.72,0,0,0,0,70.00,0,110,10,0,30,0,2,0,
Tuskegee,40,6/7/2022,SE,29,69.84,3,1,1,0,40.00,0,110,0,0,0,7,0,0,
Tuskegee,41,6/7/2022,SE,47,51.12,7,1,0,0,70.00,0,110,0,0,0,5,0,0,
Tuskegee,12,6/6/2022,SW,11,88.56,3,2,0,0,60.00,0,120,10,0,15,5,2,0,
Tuskegee,36,6/7/2022,SE,9,90.64,3,1,0,"13 (5), 32 (4)",5.00,0,120,40,0,20,0,0,1,
Tuskegee,8,6/6/2022,N,23,76.08,2,1,2,33 (4),40.00,0,120,30,0,30,2,1,0,
Talladega,82,7/6/2022,SW,4,95.84,5,1,0,"21 (2), 23 (2)",80.00,0,130,0,0,0,4,0,0,
Talladega,100,7/6/2022,SW,4,95.84,2,0,0,15 (3),60.00,0,130,10,0,10,5,0,0,
Tuskegee,37,6/7/2022,SW,7,92.72,1,1,0,12 (5),20.00,0,130,40,0,30,1,0,0,
Tuskegee,6,6/6/2022,N,8,91.68,3,1,1,0,60.00,0,140,0,0,0,0,0,0,
Talladega,64,7/5/2022,SE,3,96.88,3,2,2,10 (4),20.00,0,150,0,0,0,3,0,0,
Talladega,77,7/5/2022,SE,10,89.6,3,2,1,15 (4),30.00,0,150,0,0,0,0,0,0,
Talladega,80,7/6/2022,N,6,93.76,1,6,1,0,70.00,0,150,0,0,0,1,0,0,
Talladega,82,7/6/2022,SE,6,93.76,1,2,1,0,60.00,0,150,0,0,0,3,0,0,
Tuskegee,49,6/2/2022,SE,8,91.68,2,1,0,0,15.00,0,150,25,0,10,1,0,0,
Talladega,75,7/5/2022,N,5,94.8,2,1,0,0,10.00,0,150,20,0,15,0,0,0,
Talladega,67,7/5/2022,N,4,95.84,2,3,1,0,30.00,0,150,40,0,20,0,0,0,
Talladega,69,7/5/2022,N,6,93.76,1,3,1,0,50.00,0,150,30,0,30,2,0,0,
MOT,30,5/18/2022,SW,5,94.8,4,0,2,13 (4),15.00,0,150,0,0,0,7,0,0,
MOT,31,5/18/2022,N,2,97.92,4,1,1,0,20.00,0,150,0,0,0,10,0,0,
MOT,33,5/18/2022,N,2,97.92,3,1,0,10 (2),40.00,0,150,0,0,0,2,0,0,
Talladega,81,7/6/2022,SW,7,92.72,2,0,1,20 (4),60.00,0,160,0,0,0,0,0,0,
Talladega,81,7/6/2022,SE,2,97.92,3,1,0,13 (5),40.00,0,160,10,0,10,1,0,0,
Talladega,102,7/6/2022,SW,14,85.44,2,2,0,0,30.00,0,160,10,0,20,1,0,0,
Tuskegee,49,6/2/2022,SW,22,77.12,3,1,1,0,60.00,0,160,10,0,30,0,0,0,
