Site,Plot,Date,Species,Type,Count,Genus,Specific epithet,Scientific name,Common name,Functional,Notes
MOT,27,5/19/2022,PITA,Seedling,55,Pinus ,taeda,Pinus taeda,loblolly pine,pine,
MOT,27,5/19/2022,LIST,Sapling,1,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
MOT,27,5/19/2022,ULAL,Seedling,1,Ulmus ,alata,Ulmus alata,winged elm,mesophyte,
MOT,28,5/18/2022,PITA,Sapling,1,Pinus ,taeda,Pinus taeda,loblolly pine,pine,
MOT,28,5/18/2022,LIST,Sapling,2,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
MOT,28,5/18/2022,QUNI,Seedling,1,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
MOT,29,5/18/2022,QUAL,Sapling,1,Quercus ,alba,Quercus alba,white oak,upland oak,
MOT,29,5/18/2022,QUAL,Seedling,1,Quercus ,alba,Quercus alba,white oak,upland oak,
MOT,29,5/18/2022,PITA,Sapling,1,Pinus ,taeda,Pinus taeda,loblolly pine,pine,
MOT,29,5/18/2022,QUNI,Sapling,1,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
MOT,29,5/18/2022,QUNI,Seedling,2,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
MOT,30,5/18/2022,NYSY,Sapling,1,Nyssa ,sylvatica,Nyssa sylvatica,black gum,mesophyte,
MOT,30,5/18/2022,LIST,Sapling,5,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
MOT,30,5/18/2022,ACRU,Seedling,4,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
MOT,30,5/18/2022,LITU,Seedling,1,Liriodendron ,tulipifera,Liriodendron tulipifera,tulip poplar,mesophyte,
MOT,30,5/18/2022,QUNI,Seedling,5,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
MOT,31,5/18/2022,NYSY,Sapling,1,Nyssa ,sylvatica,Nyssa sylvatica,black gum,mesophyte,
MOT,31,5/18/2022,LIST,Sapling,1,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
MOT,31,5/18/2022,COFL,Sapling,1,Cornus ,florida,Cornus florida,flowering dogwood,mesophyte,unsure of code
MOT,31,5/18/2022,ACRU,Seedling,1,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
MOT,31,5/18/2022,QUNI,Seedling,2,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
MOT,32,2/24/2022,N/A,Sapling,0,#N/A,#N/A,#N/A,#N/A,#N/A,
MOT,32,2/24/2022,QUNI,Seedling,4,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
MOT,33,2/24/2022,N/A,Seedling,0,#N/A,#N/A,#N/A,#N/A,#N/A,
MOT,33,2/24/2022,VACCI,Sapling,4,Vaccinium ,sp.,Vaccinium sp.,blueberry,mesophyte,
MOT,33,2/24/2022,QUNI,Sapling,1,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
MOT,33,2/24/2022,LIST,Sapling,1,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
MOT,33,2/24/2022,JUVI,Sapling,1,Juniperus , virginiana,Juniperus  virginiana,eastern red cedar,mesophyte,
Tuskegee,34,6/7/2022,LIST,Sapling,2,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Tuskegee,34,6/7/2022,COFL,Sapling,2,Cornus ,florida,Cornus florida,flowering dogwood,mesophyte,
Tuskegee,34,6/7/2022,CARYA,Seedling,1,Carya ,sp.,Carya sp.,hickory,mesophyte,
Tuskegee,34,6/7/2022,DIVI,Seedling,6,Diospyros ,virginiana,Diospyros virginiana,persimmon,mesophyte,
Tuskegee,34,6/7/2022,QUNI,Seedling,5,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Tuskegee,35,6/7/2022,N/A,Sapling,0,#N/A,#N/A,#N/A,#N/A,#N/A,
Tuskegee,35,6/7/2022,QUFA,Seedling,1,Quercus ,falcata,Quercus falcata,southern red oak,upland oak,
Tuskegee,35,6/7/2022,COFL,Seedling,3,Cornus ,florida,Cornus florida,flowering dogwood,mesophyte,
Tuskegee,35,6/7/2022,QUNI,Seedling,3,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Tuskegee,35,6/7/2022,SAAL,Seedling,1,Sassafras,albidum,Sassafrasalbidum,sassafras,mesophyte,
Tuskegee,36,6/7/2022,N/A,Sapling,0,#N/A,#N/A,#N/A,#N/A,#N/A,
Tuskegee,36,6/7/2022,QUNI,Seedling,1,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Tuskegee,37,6/7/2022,LIST,Sapling,3,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Tuskegee,37,6/7/2022,LIST,Seedling,3,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Tuskegee,37,6/7/2022,QUNI,Seedling,1,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Tuskegee,38,6/7/2022,CECA,Sapling,1,Cercis ,canadensis,Cercis canadensis,eastern redbud,mesophyte,
Tuskegee,38,6/7/2022,Carya,Seedling,1,Carya ,sp.,Carya sp.,hickory,mesophyte,
Tuskegee,39,6/7/2022,N/A,Sapling,0,#N/A,#N/A,#N/A,#N/A,#N/A,
Tuskegee,39,6/7/2022,N/A,Seedling,0,#N/A,#N/A,#N/A,#N/A,#N/A,
Tuskegee,40,6/7/2022,N/A,Sapling,0,#N/A,#N/A,#N/A,#N/A,#N/A,
Tuskegee,40,6/7/2022,LIST,Seedling,24,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Tuskegee,41,6/7/2022,LIST,Sapling,6,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Tuskegee,41,6/7/2022,CARYA,Sapling,1,Carya ,sp.,Carya sp.,hickory,mesophyte,
Tuskegee,41,6/7/2022,LIST,Seedling,2,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Tuskegee,41,6/7/2022,QUNI,Seedling,5,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Tuskegee,42,6/2/2022,ILVO,Sapling,3,Ilex ,vomitoria,Ilex vomitoria,yaupon,mesophyte,
Tuskegee,42,6/2/2022,QUNI,Seedling,7,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Tuskegee,43,6/2/2022,PITA,Seedling,4,Pinus ,taeda,Pinus taeda,loblolly pine,pine,
Tuskegee,43,6/2/2022,LIST,Sapling,9,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Tuskegee,43,6/2/2022,ILVO,Sapling,8,Ilex ,vomitoria,Ilex vomitoria,yaupon,mesophyte,
Tuskegee,43,6/2/2022,QUNI,Seedling,5,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Tuskegee,44,6/2/2022,ILVO,Sapling,2,Ilex ,vomitoria,Ilex vomitoria,yaupon,mesophyte,
Tuskegee,44,6/2/2022,NYSY,Seedling,5,Nyssa ,sylvatica,Nyssa sylvatica,black gum,mesophyte,
Tuskegee,44,6/2/2022,QUNI,Seedling,1,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Tuskegee,45,6/2/2022,QUFA,Seedling,5,Quercus ,falcata,Quercus falcata,southern red oak,upland oak,
Tuskegee,45,6/2/2022,PITA,Seedling,1,Pinus ,taeda,Pinus taeda,loblolly pine,pine,
Tuskegee,45,6/2/2022,ILVO,Sapling,7,Ilex ,vomitoria,Ilex vomitoria,yaupon,mesophyte,
Tuskegee,45,6/2/2022,DIVI,Sapling,5,Diospyros ,virginiana,Diospyros virginiana,persimmon,mesophyte,
Tuskegee,45,6/2/2022,QUNI,Seedling,3,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Tuskegee,47,6/2/2022,N/A,Sapling,0,#N/A,#N/A,#N/A,#N/A,#N/A,
Tuskegee,47,6/2/2022,QUAL,Seedling,1,Quercus ,alba,Quercus alba,white oak,upland oak,
Tuskegee,47,6/2/2022,PRSE,Seedling,1,Prunus,serotina,Prunusserotina,cherry,mesophyte,
Tuskegee,47,6/2/2022,QUNI,Seedling,3,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Tuskegee,48,6/2/2022,N/A,Sapling,0,#N/A,#N/A,#N/A,#N/A,#N/A,
Tuskegee,48,6/2/2022,QUNI,Seedling,3,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Tuskegee,49,6/2/2022,LIST,Sapling,14,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Tuskegee,49,6/2/2022,LIST,Seedling,2,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Tuskegee,50,6/2/2022,N/A,Seedling,0,#N/A,#N/A,#N/A,#N/A,#N/A,
Tuskegee,50,6/2/2022,LIST,Sapling,2,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Tuskegee,51,6/2/2022,LIST,Sapling,2,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Tuskegee,51,6/2/2022,LIST,Seedling,4,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
MOT,52,5/18/2022,QUAL,Sapling,1,Quercus ,alba,Quercus alba,white oak,upland oak,
MOT,52,5/18/2022,QUNI,Seedling,2,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
MOT,53,5/18/2022,PIEC,Seedling,1,Pinus ,echinata,Pinus echinata,shortleaf pine,pine,
MOT,53,5/18/2022,PITA,Seedling,1,Pinus ,taeda,Pinus taeda,loblolly pine,pine,
MOT,53,5/18/2022,ACRU,Sapling,1,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
MOT,53,5/18/2022,FAGR,Seedling,1,Fagus ,grandifolia,Fagus grandifolia,American beech,mesophyte,
MOT,54,5/18/2022,QUNI,Sapling,1,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
MOT,54,5/18/2022,LIST,Sapling,1,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
MOT,54,5/18/2022,ACRU,Seedling,3,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
MOT,54,5/18/2022,PRSE,Seedling,1,Prunus,serotina,Prunusserotina,cherry,mesophyte,
MOT,54,5/18/2022,QUNI,Seedling,2,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
MOT,55,5/18/2022,OXAR,Sapling,1,Oxydendrum ,arboreum,Oxydendrum arboreum,sourwood,mesophyte,
MOT,55,5/18/2022,ACRU,Sapling,1,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
MOT,55,5/18/2022,QUNI,Seedling,2,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
MOT,56,5/18/2022,QUAL,Sapling,1,Quercus ,alba,Quercus alba,white oak,upland oak,
MOT,56,5/18/2022,OXAR,Sapling,2,Oxydendrum ,arboreum,Oxydendrum arboreum,sourwood,mesophyte,
MOT,56,5/18/2022,LIST,Sapling,1,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
MOT,56,5/18/2022,JUVI,Sapling,1,Juniperus , virginiana,Juniperus  virginiana,eastern red cedar,mesophyte,
MOT,56,5/18/2022,ACRU,Sapling,1,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
MOT,56,5/18/2022,PRSE,Seedling,2,Prunus,serotina,Prunusserotina,cherry,mesophyte,
MOT,56,5/18/2022,QUNI,Seedling,2,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
MOT,57,5/19/2022,QUFA,Sapling,1,Quercus ,falcata,Quercus falcata,southern red oak,upland oak,
MOT,57,5/19/2022,PITA,Seedling,53,Pinus ,taeda,Pinus taeda,loblolly pine,pine,
MOT,57,5/19/2022,CARYA,Sapling,1,Carya ,sp.,Carya sp.,hickory,mesophyte,
MOT,57,5/19/2022,ACRU,Seedling,4,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
MOT,57,5/19/2022,CARYA,Seedling,1,Carya ,sp.,Carya sp.,hickory,mesophyte,
MOT,57,5/19/2022,LIST,Seedling,2,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
MOT,58,5/19/2022,PITA,Seedling,3,Pinus ,taeda,Pinus taeda,loblolly pine,pine,
MOT,58,5/19/2022,CARYA,Sapling,1,Carya ,sp.,Carya sp.,hickory,mesophyte,
MOT,58,5/19/2022,CARYA,Seedling,4,Carya ,sp.,Carya sp.,hickory,mesophyte,
MOT,59,5/19/2022,N/A,Sapling,0,#N/A,#N/A,#N/A,#N/A,#N/A,
MOT,59,5/19/2022,N/A,Seedling,0,#N/A,#N/A,#N/A,#N/A,#N/A,
MOT,60,5/19/2022,QUNI,Sapling,1,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
MOT,60,5/19/2022,PRSE,Sapling,1,Prunus,serotina,Prunusserotina,cherry,mesophyte,
MOT,60,5/19/2022,LIST,Sapling,2,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
MOT,60,5/19/2022,LIST,Seedling,2,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
MOT,60,5/19/2022,PRSE,Seedling,1,Prunus,serotina,Prunusserotina,cherry,mesophyte,
Talladega,61,7/5/2022,QURU,Seedling,1,Quercus ,rubrum,Quercus rubrum,northern red oak,upland oak,
Talladega,61,7/5/2022,OXAR,Sapling,3,Oxydendrum ,arboreum,Oxydendrum arboreum,sourwood,mesophyte,
Talladega,61,7/5/2022,list,Sapling,5,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Talladega,61,7/5/2022,COFL,Sapling,2,Cornus ,florida,Cornus florida,flowering dogwood,mesophyte,
Talladega,61,7/5/2022,ACSA,Sapling,2,Acer ,saccharum,Acer saccharum,sugar maple,mesophyte,
Talladega,62,7/5/2022,QURU,Seedling,1,Quercus ,rubrum,Quercus rubrum,northern red oak,upland oak,
Talladega,62,7/5/2022,OXAR,Sapling,2,Oxydendrum ,arboreum,Oxydendrum arboreum,sourwood,mesophyte,
Talladega,62,7/5/2022,FAGR,Sapling,2,Fagus ,grandifolia,Fagus grandifolia,American beech,mesophyte,
Talladega,62,7/5/2022,ACRU,Sapling,1,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Talladega,62,7/5/2022,ACRU,Seedling,4,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Talladega,62,7/5/2022,CARYA,Seedling,1,Carya ,sp.,Carya sp.,hickory,mesophyte,
Talladega,63,7/5/2022,QURU,Seedling,2,Quercus ,rubrum,Quercus rubrum,northern red oak,upland oak,
Talladega,63,7/5/2022,QUMA,Seedling,1,Quercus ,marilandica,Quercus marilandica,blackjack oak,pine,
Talladega,63,7/5/2022,QUNI,Sapling,1,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Talladega,63,7/5/2022,LIST,Sapling,2,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Talladega,63,7/5/2022,ACRU,Sapling,1,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Talladega,63,7/5/2022,CARYA,Seedling,1,Carya ,sp.,Carya sp.,hickory,mesophyte,
Talladega,64,7/5/2022,QUMO,Sapling,2,Quercus ,montana,Quercus montana,chestnut oak,upland oak,
Talladega,64,7/5/2022,PITA,Seedling,9,Pinus ,taeda,Pinus taeda,loblolly pine,pine,
Talladega,64,7/5/2022,NYSY,Sapling,1,Nyssa ,sylvatica,Nyssa sylvatica,black gum,mesophyte,
Talladega,64,7/5/2022,LIST,Sapling,1,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Talladega,64,7/5/2022,CARYA,Sapling,2,Carya ,sp.,Carya sp.,hickory,mesophyte,
Talladega,64,7/5/2022,ACSA,Sapling,1,Acer ,saccharum,Acer saccharum,sugar maple,mesophyte,
Talladega,64,7/5/2022,ACRU,Seedling,3,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Talladega,65,7/5/2022,N/A,Seedling,0,#N/A,#N/A,#N/A,#N/A,#N/A,
Talladega,65,7/5/2022,qual,Sapling,1,Quercus ,alba,Quercus alba,white oak,upland oak,
Talladega,65,7/5/2022,qufa,Sapling,1,Quercus ,falcata,Quercus falcata,southern red oak,upland oak,
Talladega,65,7/5/2022,NYSY,Sapling,1,Nyssa ,sylvatica,Nyssa sylvatica,black gum,mesophyte,
Talladega,65,7/5/2022,COFL,Sapling,1,Cornus ,florida,Cornus florida,flowering dogwood,mesophyte,
Talladega,65,7/5/2022,ACRU,Sapling,1,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Talladega,66,7/5/2022,N/A,Seedling,0,#N/A,#N/A,#N/A,#N/A,#N/A,
Talladega,66,7/5/2022,list,Sapling,1,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Talladega,66,7/5/2022,FAGR,Sapling,1,Fagus ,grandifolia,Fagus grandifolia,American beech,mesophyte,
Talladega,66,7/5/2022,ACRU,Sapling,1,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Talladega,67,7/5/2022,QUAL,Seedling,1,Quercus ,alba,Quercus alba,white oak,upland oak,
Talladega,67,7/5/2022,PITA,Seedling,4,Pinus ,taeda,Pinus taeda,loblolly pine,pine,
Talladega,67,7/5/2022,QUNI,Sapling,1,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Talladega,67,7/5/2022,OXAR,Sapling,1,Oxydendrum ,arboreum,Oxydendrum arboreum,sourwood,mesophyte,
Talladega,67,7/5/2022,LIST,Sapling,3,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Talladega,67,7/5/2022,CARYA,Sapling,1,Carya ,sp.,Carya sp.,hickory,mesophyte,
Talladega,67,7/5/2022,ACSA,Sapling,1,Acer ,saccharum,Acer saccharum,sugar maple,mesophyte,
Talladega,67,7/5/2022,ACRU,Seedling,2,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Talladega,67,7/5/2022,LIST,Seedling,4,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Talladega,67,7/5/2022,OXAR,Seedling,2,Oxydendrum ,arboreum,Oxydendrum arboreum,sourwood,mesophyte,
Talladega,67,7/5/2022,QUNI,Seedling,5,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Talladega,67,7/5/2022,SAAL,Seedling,1,Sassafras,albidum,Sassafrasalbidum,sassafras,mesophyte,
Talladega,68,7/5/2022,N/A,Sapling,0,#N/A,#N/A,#N/A,#N/A,#N/A,
