Site,Plot,Date,Direction,Woody_0.25,Woody_1,Woody_3
MOT,30,5/18/2022,N,1,2,0
MOT,30,5/18/2022,SE,5,1,0
MOT,30,5/18/2022,SW,4,0,2
MOT,31,5/18/2022,N,4,1,1
MOT,31,5/18/2022,SE,1,0,0
MOT,31,5/18/2022,SW,5,0,0
MOT,32,5/18/2022,N,8,3,2
MOT,32,5/18/2022,SE,6,1,2
MOT,32,5/18/2022,SW,9,2,1
MOT,33,5/18/2022,N,3,1,0
MOT,33,5/18/2022,SE,4,1,3
MOT,33,5/18/2022,SW,7,4,0
Tuskegee,34,6/7/2022,N,3,0,1
Tuskegee,34,6/7/2022,SE,5,1,0
Tuskegee,34,6/7/2022,SW,6,5,2
Tuskegee,35,6/7/2022,N,4,1,1
Tuskegee,35,6/7/2022,SE,3,1,1
Tuskegee,35,6/7/2022,SW,4,0,0
Tuskegee,36,6/7/2022,N,2,1,0
Tuskegee,36,6/7/2022,SE,3,1,0
Tuskegee,36,6/7/2022,SW,3,2,1
Tuskegee,37,6/7/2022,N,3,0,2
Tuskegee,37,6/7/2022,SE,3,0,0
Tuskegee,37,6/7/2022,SW,1,1,0
Tuskegee,38,6/7/2022,N,1,2,0
Tuskegee,38,6/7/2022,SE,6,0,0
Tuskegee,38,6/7/2022,SW,5,1,1
Tuskegee,39,6/7/2022,N,2,1,3
Tuskegee,39,6/7/2022,SE,1,0,0
Tuskegee,39,6/7/2022,SW,4,1,0
Tuskegee,40,6/7/2022,N,5,2,1
Tuskegee,40,6/7/2022,SE,3,1,1
Tuskegee,40,6/7/2022,SW,9,2,0
Tuskegee,41,6/7/2022,N,4,1,1
Tuskegee,41,6/7/2022,SE,7,1,0
Tuskegee,41,6/7/2022,SW,6,2,2
Tuskegee,42,6/2/2022,N,5,1,0
Tuskegee,42,6/2/2022,SE,5,1,1
Tuskegee,42,6/2/2022,SW,7,1,1
Tuskegee,43,6/2/2022,N,2,1,0
Tuskegee,43,6/2/2022,SE,3,0,1
Tuskegee,43,6/2/2022,SW,6,2,0
Tuskegee,44,6/2/2022,N,3,1,1
Tuskegee,44,6/2/2022,SE,4,1,3
Tuskegee,44,6/2/2022,SW,3,1,0
Tuskegee,45,6/2/2022,N,2,1,2
Tuskegee,45,6/2/2022,SE,2,1,1
Tuskegee,45,6/2/2022,SW,3,0,0
Tuskegee,47,6/2/2022,N,3,2,0
Tuskegee,47,6/2/2022,SE,3,2,1
Tuskegee,47,6/2/2022,SW,6,1,0
Tuskegee,48,6/2/2022,N,6,1,1
Tuskegee,48,6/2/2022,SE,4,1,0
Tuskegee,48,6/2/2022,SW,1,2,0
Tuskegee,49,6/2/2022,N,3,0,0
Tuskegee,49,6/2/2022,SE,2,1,0
Tuskegee,49,6/2/2022,SW,3,1,1
Tuskegee,50,6/2/2022,N,2,1,1
Tuskegee,50,6/2/2022,SE,1,1,0
Tuskegee,50,6/2/2022,SW,2,0,0
Tuskegee,51,6/2/2022,N,1,1,1
Tuskegee,51,6/2/2022,SE,2,2,1
Tuskegee,51,6/2/2022,SW,4,2,2
MOT,52,5/18/2022,N,3,2,1
MOT,52,5/18/2022,SE,4,0,1
MOT,52,5/18/2022,SW,3,0,0
MOT,53,5/18/2022,N,14,0,0
MOT,53,5/18/2022,SE,4,3,0
MOT,53,5/18/2022,SW,5,2,1
MOT,54,5/18/2022,N,1,4,1
MOT,54,5/18/2022,SE,1,3,1
MOT,54,5/18/2022,SW,5,1,0
MOT,55,5/18/2022,N,4,0,1
MOT,55,5/18/2022,SE,3,2,0
MOT,55,5/18/2022,SW,2,0,0
MOT,56,5/18/2022,N,3,1,1
MOT,56,5/18/2022,SE,5,1,4
MOT,56,5/18/2022,SW,2,0,0
MOT,57,5/19/2022,N,0,2,3
MOT,57,5/19/2022,SE,0,2,1
MOT,57,5/19/2022,SW,1,1,5
MOT,58,5/19/2022,N,3,0,2
MOT,58,5/19/2022,SE,5,0,1
MOT,58,5/19/2022,SW,4,0,3
MOT,59,5/19/2022,N,2,0,0
MOT,59,5/19/2022,SE,4,1,0
MOT,59,5/19/2022,SW,0,3,0
MOT,60,5/19/2022,N,2,2,0
MOT,60,5/19/2022,SE,2,2,0
MOT,60,5/19/2022,SW,2,4,0
Talladega,61,7/5/2022,N,2,1,2
Talladega,61,7/5/2022,SE,2,6,3
Talladega,61,7/5/2022,SW,1,5,2
Talladega,62,7/5/2022,N,2,1,0
Talladega,62,7/5/2022,SE,2,1,0
Talladega,62,7/5/2022,SW,3,1,1
Talladega,63,7/5/2022,N,3,2,0
Talladega,63,7/5/2022,SE,3,2,2
Talladega,63,7/5/2022,SW,2,1,1
Talladega,64,7/5/2022,N,2,0,0
Talladega,64,7/5/2022,SE,3,2,2
Talladega,64,7/5/2022,SW,3,1,1
Talladega,65,7/5/2022,N,6,3,1
Talladega,65,7/5/2022,SE,4,0,1
Talladega,65,7/5/2022,SW,5,3,2
Talladega,66,7/5/2022,N,2,0,3
Talladega,66,7/5/2022,SE,4,1,1
Talladega,66,7/5/2022,SW,3,0,1
Talladega,67,7/5/2022,N,2,3,1
Talladega,67,7/5/2022,SE,4,1,0
Talladega,67,7/5/2022,SW,2,1,1
Talladega,68,7/5/2022,N,7,2,0
Talladega,68,7/5/2022,SE,0,4,3
Talladega,68,7/5/2022,SW,7,4,5
Talladega,69,7/5/2022,N,1,3,1
Talladega,69,7/5/2022,SE,1,5,0
Talladega,69,7/5/2022,SW,1,0,2
Talladega,70,7/5/2022,N,2,1,1
Talladega,70,7/5/2022,SE,2,0,2
Talladega,70,7/5/2022,SW,4,1,0
Talladega,71,7/5/2022,N,3,0,0
Talladega,71,7/5/2022,SE,1,1,1
Talladega,71,7/5/2022,SW,8,2,0
Talladega,72,7/5/2022,N,3,1,1
Talladega,72,7/5/2022,SE,0,3,2
Talladega,72,7/5/2022,SW,2,3,0
Talladega,74,7/5/2022,N,2,0,1
Talladega,74,7/5/2022,SE,4,0,0
Talladega,74,7/5/2022,SW,4,2,0
Talladega,75,7/5/2022,N,2,1,0
Talladega,75,7/5/2022,SE,4,2,0
Talladega,75,7/5/2022,SW,3,0,0
Talladega,76,7/5/2022,N,2,2,0
Talladega,76,7/5/2022,SE,2,1,0
Talladega,76,7/5/2022,SW,2,1,0
Talladega,77,7/5/2022,N,0,2,2
Talladega,77,7/5/2022,SE,3,2,1
Talladega,77,7/5/2022,SW,4,0,2
Talladega,78,7/6/2022,N,3,0,0
Talladega,78,7/6/2022,SE,5,0,1
Talladega,78,7/6/2022,SW,1,0,0
Talladega,79,7/6/2022,N,4,0,2
Talladega,79,7/6/2022,SE,5,1,0
Talladega,79,7/6/2022,SW,2,2,1
Talladega,80,7/6/2022,N,1,6,1
Talladega,80,7/6/2022,SE,1,6,2
Talladega,80,7/6/2022,SW,2,7,3
Talladega,81,7/6/2022,N,1,0,3
Talladega,81,7/6/2022,SE,3,1,0
Talladega,81,7/6/2022,SW,2,0,1
Talladega,82,7/6/2022,N,1,8,3
Talladega,82,7/6/2022,SE,1,2,1
Talladega,82,7/6/2022,SW,5,1,0
Talladega,83,7/6/2022,N,5,2,3
Talladega,83,7/6/2022,SE,2,3,1
Talladega,83,7/6/2022,SW,4,1,1
Talladega,84,7/6/2022,N,2,1,0
Talladega,84,7/6/2022,SE,0,1,0
Talladega,84,7/6/2022,SW,0,3,1
Talladega,85,7/6/2022,N,5,0,0
Talladega,85,7/6/2022,SE,2,2,0
Talladega,85,7/6/2022,SW,2,2,1
Talladega,86,7/6/2022,N,3,3,3
Talladega,86,7/6/2022,SE,3,0,1
Talladega,86,7/6/2022,SW,0,2,3
Talladega,87,7/6/2022,N,0,0,0
Talladega,87,7/6/2022,SE,0,1,1
Talladega,87,7/6/2022,SW,2,1,0
Talladega,88,7/6/2022,N,0,2,2
Talladega,88,7/6/2022,SE,0,1,1
Talladega,88,7/6/2022,SW,2,0,1
Talladega,89,7/6/2022,N,1,2,1
Talladega,89,7/6/2022,SE,3,1,0
Talladega,89,7/6/2022,SW,4,0,1
Talladega,91,7/8/2022,N,0,2,3
Talladega,91,7/8/2022,SE,9,1,5
Talladega,91,7/8/2022,SW,3,1,2
Talladega,92,7/8/2022,N,2,1,0
Talladega,92,7/8/2022,SE,4,1,1
Talladega,92,7/8/2022,SW,6,0,2
Talladega,93,7/8/2022,N,6,1,3
Talladega,93,7/8/2022,SE,7,4,1
Talladega,93,7/8/2022,SW,9,3,2
Talladega,94,7/8/2022,N,11,0,0
Talladega,94,7/8/2022,SE,9,0,1
Talladega,94,7/8/2022,SW,2,1,2
Talladega,95,7/8/2022,N,1,2,0
Talladega,95,7/8/2022,SE,0,0,3
Talladega,95,7/8/2022,SW,10,0,10
Talladega,96,7/8/2022,N,5,2,2
Talladega,96,7/8/2022,SE,4,1,0
Talladega,96,7/8/2022,SW,2,3,0
Talladega,97,7/8/2022,N,4,0,2
Talladega,97,7/8/2022,SE,2,0,0
Talladega,97,7/8/2022,SW,3,1,3
Talladega,98,7/8/2022,N,1,4,1
Talladega,98,7/8/2022,SE,0,2,3
Talladega,98,7/8/2022,SW,3,1,0
Talladega,99,7/8/2022,N,1,1,3
Talladega,99,7/8/2022,SE,3,0,0
Talladega,99,7/8/2022,SW,0,0,0
Talladega,100,7/6/2022,N,0,1,0
Talladega,100,7/6/2022,SE,4,2,2
Talladega,100,7/6/2022,SW,2,0,0
Talladega,101,7/6/2022,N,6,2,0
Talladega,101,7/6/2022,SE,7,2,1
Talladega,101,7/6/2022,SW,4,2,0
Talladega,102,7/6/2022,N,3,1,0
Talladega,102,7/6/2022,SE,1,4,1
Talladega,102,7/6/2022,SW,2,2,0
CR,103,6/1/2022,N,5,1,2
CR,103,6/1/2022,SE,3,1,1
CR,103,6/1/2022,SW,5,0,0
CR,104,6/1/2022,N,3,1,0
CR,104,6/1/2022,SE,7,1,0
CR,104,6/1/2022,SW,4,1,0
CR,105,6/1/2022,N,1,2,1
CR,105,6/1/2022,SE,3,0,1
CR,105,6/1/2022,SW,4,1,2
CR,106,6/1/2022,N,3,0,1
CR,106,6/1/2022,SE,3,0,1
CR,106,6/1/2022,SW,6,2,1
CR,107,6/1/2022,N,3,0,1
CR,107,6/1/2022,SE,4,3,1
CR,107,6/1/2022,SW,3,1,1
