collection,Plot,Treatment,canopy_trt,litter_type,litter_pct
4/12/2022,10,Control,Medium,Upland oak,3.003923712
4/12/2022,10,Thin,Medium,Encroaching,8.548779795
4/12/2022,10,Thin,Medium,Pine,89.48112122
4/12/2022,10,Thin,Medium,Upland oak,1.970098987
4/12/2022,11,Control,Low,Encroaching,38.62466157
4/12/2022,11,Control,Low,Pine,29.71159792
4/12/2022,11,Control,Low,Upland oak,31.66374051
4/12/2022,11,Thin,Low,Encroaching,8.434452127
4/12/2022,11,Thin,Low,Pine,39.33253898
4/12/2022,11,Thin,Low,Upland oak,52.2330089
4/12/2022,12,Control,High,Encroaching,27.48425298
4/12/2022,12,Control,High,Pine,34.78229927
4/12/2022,12,Control,High,Upland oak,37.73344775
4/12/2022,12,Thin,High,Encroaching,47.75007891
4/12/2022,12,Thin,High,Pine,47.75424535
4/12/2022,12,Thin,High,Upland oak,4.495675747
6/24/2022,1,Control,High,Encroaching,48.08150838
6/24/2022,1,Control,High,Pine,38.30799463
6/24/2022,1,Control,High,Upland oak,13.610497
6/24/2022,1,Thin,High,Encroaching,24.71327685
6/24/2022,1,Thin,High,Pine,72.37402466
6/24/2022,1,Thin,High,Upland oak,2.912698491
6/24/2022,2,Control,Medium,Encroaching,28.46364919
6/24/2022,2,Control,Medium,Pine,47.27213705
6/24/2022,2,Control,Medium,Upland oak,24.26421375
6/24/2022,2,Thin,Medium,Encroaching,30.59641394
6/24/2022,2,Thin,Medium,Pine,64.82062025
6/24/2022,2,Thin,Medium,Upland oak,4.582965815
6/24/2022,3,Control,High,Encroaching,31.64138242
6/24/2022,3,Control,High,Pine,63.05680266
6/24/2022,3,Control,High,Upland oak,5.301814919
6/24/2022,3,Thin,High,Encroaching,60.44562149
6/24/2022,3,Thin,High,Pine,34.27196295
6/24/2022,3,Thin,High,Upland oak,5.282415556
6/24/2022,4,Control,Low,Encroaching,25.74868305
6/24/2022,4,Control,Low,Pine,24.60744822
6/24/2022,4,Control,Low,Upland oak,49.64386874
6/24/2022,4,Thin,Low,Encroaching,16.1661426
6/24/2022,4,Thin,Low,Pine,37.36437446
6/24/2022,4,Thin,Low,Upland oak,46.46948295
6/24/2022,5,Control,Low,Encroaching,34.3248284
6/24/2022,5,Control,Low,Pine,30.72427738
6/24/2022,5,Control,Low,Upland oak,34.95089422
6/24/2022,5,Thin,Low,Encroaching,16.07203838
6/24/2022,5,Thin,Low,Pine,48.26108557
6/24/2022,5,Thin,Low,Upland oak,35.66687606
6/24/2022,6,Control,Low,Encroaching,21.29247433
6/24/2022,6,Control,Low,Pine,38.43128046
6/24/2022,6,Control,Low,Upland oak,40.2762452
6/24/2022,6,Thin,Low,Encroaching,16.93625026
6/24/2022,6,Thin,Low,Pine,66.94307839
6/24/2022,6,Thin,Low,Upland oak,16.12067135
6/24/2022,7,Control,Medium,Encroaching,36.92109538
6/24/2022,7,Control,Medium,Pine,59.12110965
6/24/2022,7,Control,Medium,Upland oak,3.957794971
6/24/2022,7,Thin,Medium,Encroaching,15.62059451
6/24/2022,7,Thin,Medium,Pine,83.84943056
6/24/2022,7,Thin,Medium,Upland oak,0.529974926
6/24/2022,8,Control,Medium,Encroaching,33.70618949
6/24/2022,8,Control,Medium,Pine,56.18865544
6/24/2022,8,Control,Medium,Upland oak,10.10515506
6/24/2022,8,Thin,Medium,Encroaching,42.91590479
6/24/2022,8,Thin,Medium,Pine,50.56116037
6/24/2022,8,Thin,Medium,Upland oak,6.522934837
6/24/2022,9,Control,High,Encroaching,18.65284475
6/24/2022,9,Control,High,Pine,66.93705881
6/24/2022,9,Control,High,Upland oak,14.41009644
6/24/2022,9,Thin,High,Encroaching,20.18666225
6/24/2022,9,Thin,High,Pine,75.04126949
6/24/2022,9,Thin,High,Upland oak,4.772068261
6/24/2022,10,Control,Medium,Encroaching,29.37162624
6/24/2022,10,Control,Medium,Pine,65.85763644
6/24/2022,10,Control,Medium,Upland oak,4.77073732
6/24/2022,10,Thin,Medium,Encroaching,8.226462742
6/24/2022,10,Thin,Medium,Pine,90.80427258
6/24/2022,10,Thin,Medium,Upland oak,0.969264683
6/24/2022,11,Control,Low,Encroaching,43.75368413
6/24/2022,11,Control,Low,Pine,35.03556373
6/24/2022,11,Control,Low,Upland oak,21.21075214
6/24/2022,11,Thin,Low,Encroaching,9.335072775
6/24/2022,11,Thin,Low,Pine,38.2450132
6/24/2022,11,Thin,Low,Upland oak,52.41991403
6/24/2022,12,Control,High,Encroaching,23.09935736
6/24/2022,12,Control,High,Pine,48.32857657
6/24/2022,12,Control,High,Upland oak,28.57206606
6/24/2022,12,Thin,High,Encroaching,36.04798268
6/24/2022,12,Thin,High,Pine,55.40923712
6/24/2022,12,Thin,High,Upland oak,8.542780202
